,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1494,Shane Vereen\VereSh00,2014,25,2-56,NWE,NFL,16,6,113.8,165.8,7.11,10.36,0,0,0,0,0,96,391,2,52,447,3,0
1495,Ameer Abdullah\AbduAm00,2017,24,2-54,DET,NFL,14,11,99.4,124.4,7.10,8.89,0,0,0,0,0,165,552,4,25,162,1,2
1496,Frank Hawkins\HawkFr00,1983,24,10-276,RAI,NFL,16,2,113.6,133.6,7.10,8.35,0,0,0,0,0,110,526,6,20,150,2,2
1497,Isaiah Crowell\CrowIs00,2014,21,,CLE,NFL,16,4,113.4,122.4,7.09,7.65,0,0,0,0,0,148,607,8,9,87,0,3
1498,Rashad Jennings\JennRa00,2010,25,7-250,JAX,NFL,13,3,92.2,118.2,7.09,9.09,0,0,0,0,0,84,459,4,26,223,0,0
1499,Larry Kinnebrew\KinnLa00,1986,27,6-165,CIN,NFL,16,9,113.5,126.5,7.09,7.91,0,0,0,0,0,131,519,8,13,136,1,6
1500,Pierre Thomas\ThomPi00,2014,30,,NOR,NFL,11,3,78.0,123.0,7.09,11.18,0,0,0,0,0,45,222,2,45,378,1,0
,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1501,Cecil Collins\CollCe00,1999,23,5-134,MIA,NFL,8,6,56.6,62.6,7.08,7.83,0,0,0,0,0,131,414,2,6,32,0,2
1502,Heath Sherman\SherHe00,1992,25,6-162,PHI,NFL,16,7,113.2,131.2,7.08,8.20,0,0,0,0,0,112,583,5,18,219,1,3
1503,Brad Baxter\BaxtBr00,1992,25,11-303,NYJ,NFL,15,15,106.0,110.0,7.07,7.33,0,0,0,0,0,152,698,6,4,32,0,3
1504,Cedric Benson\BensCe00,2006,24,1-4,CHI,NFL,15,0,106.1,114.1,7.07,7.61,0,0,0,0,0,157,647,6,8,54,0,0
1505,Maurice Hicks\HickMa00,2004,26,,SFO,NFL,9,2,63.6,79.6,7.07,8.84,0,0,0,0,0,96,362,2,16,154,0,3
1506,Kevan Barlow\BarlKe00,2001,22,3-80,SFO,NFL,15,0,105.9,127.9,7.06,8.53,0,0,0,0,0,125,512,4,22,247,1,1
1507,Antowain Smith\SmitAn00,2004,32,1-23,TEN,NFL,13,4,91.8,113.8,7.06,8.75,0,0,0,0,0,137,509,4,22,169,0,2
1508,Rickey Young\YounRi00,1980,27,7-164,MIN,NFL,16,16,113.0,177.0,7.06,11.06,0,0,0,0,0,130,351,3,64,499,2,2
1509,Lance Dunbar\DunbLa00,2015,25,,DAL,NFL,4,0,28.2,49.2,7.05,12.30,0,0,0,0,0,5,67,0,21,215,0,0
1510,Rodney Hampton\HampRo00,1997,28,1-24,NYG,NFL,2,0,14.1,14.1,7.05,7.05,0,0,0,0,0,23,81,1,0,0,0,0
1511,James Wilder\WildJa00,1987,29,2-34,TAM,NFL,12,12,84.6,124.6,7.05,10.38,0,0,0,0,0,106,488,0,40,328,1,3
1512,Shawn Bryson\BrysSh00,2003,27,3-86,DET,NFL,16,13,112.6,166.6,7.04,10.41,0,0,0,0,0,158,606,3,54,340,0,2
1513,Wilbur Jackson\JackWi01,1980,29,1-9,WAS,NFL,16,14,112.7,139.7,7.04,8.73,0,0,0,0,0,176,708,3,27,279,1,10
1514,Bilal Powell\PoweBi00,2018,30,4-126,NYJ,NFL,7,7,49.3,60.3,7.04,8.61,0,0,0,0,0,80,343,0,11,110,1,2
1515,Troy Stradford\StraTr00,1989,25,4-99,MIA,NFL,7,4,49.3,74.3,7.04,10.61,0,0,0,0,0,66,240,1,25,233,0,4
1516,Felix Jones\JoneFe00,2009,22,1-22,DAL,NFL,14,1,98.4,117.4,7.03,8.39,0,0,0,0,0,116,685,3,19,119,0,3
1517,Jerick McKinnon\McKiJe00,2016,24,3-96,MIN,NFL,15,7,105.4,148.4,7.03,9.89,0,1,0,0,0,159,539,2,43,255,2,0
1518,Antowain Smith\SmitAn00,2003,31,1-23,NWE,NFL,13,6,91.4,105.4,7.03,8.11,0,0,0,0,0,182,642,3,14,92,0,1
1519,Mike Alstott\AlstMi00,2003,30,2-35,TAM,NFL,4,3,28.0,38.0,7.00,9.50,0,0,0,0,0,27,77,2,10,83,0,0
1520,David Johnson\JohnDa08,2017,26,3-86,ARI,NFL,1,1,7.0,13.0,7.00,13.00,0,0,0,0,0,11,23,0,6,67,0,2
1521,LeShon Johnson\JohnLe01,1996,25,3-84,ARI,NFL,15,8,105.0,120.0,7.00,8.00,0,0,0,0,0,141,634,3,15,176,1,5
1522,Reggie Cobb\CobbRe00,1994,26,2-30,GNB,NFL,16,13,111.8,146.8,6.99,9.18,0,0,0,0,0,153,579,3,35,299,1,1
1523,Jerald Moore\MoorJe00,1997,23,3-83,STL,NFL,9,5,62.9,70.9,6.99,7.88,0,0,0,0,0,104,380,3,8,69,0,4
1524,Devontae Booker\BookDe00,2016,24,4-136,DEN,NFL,16,6,111.7,142.7,6.98,8.92,0,0,0,0,0,174,612,4,31,265,1,4
1525,Keith Byars\ByarKe00,1991,28,1-10,PHI,NFL,16,16,111.7,173.7,6.98,10.86,0,2,0,0,1,94,383,1,62,564,3,5
1526,LaMont Jordan\JordLa00,2006,28,2-49,OAK,NFL,9,8,62.8,72.8,6.98,8.09,0,0,0,0,0,114,434,2,10,74,0,1
1527,Spencer Ware\WareSp00,2015,24,6-194,KAN,NFL,11,2,76.8,82.8,6.98,7.53,0,0,0,0,0,72,403,6,6,5,0,0
1528,Deuce McAllister\McAlDe00,2008,30,1-23,NOR,NFL,13,6,90.6,108.6,6.97,8.35,0,0,0,0,0,107,418,5,18,128,1,0
1529,Denard Robinson\RobiDe00,2014,24,5-135,JAX,NFL,13,9,90.6,113.6,6.97,8.74,0,1,0,0,0,135,582,4,23,124,0,2
1530,John Stephens\StepJo00,1990,24,1-17,NWE,NFL,16,14,111.4,139.4,6.96,8.71,0,1,0,0,1,212,808,2,28,196,1,5
1531,Matt Forte\FortMa00,2017,32,2-44,NYJ,NFL,12,4,83.4,120.4,6.95,10.03,0,0,0,0,0,103,381,2,37,293,1,1
1532,Darren Sproles\SproDa00,2008,25,4-130,SDG,NFL,16,0,111.2,140.2,6.95,8.76,0,0,0,0,0,61,330,1,29,342,5,3
1533,Ki-Jana Carter\CartKi00,1997,24,1-1,CIN,NFL,15,10,104.1,125.1,6.94,8.34,0,1,0,0,0,128,464,7,21,157,0,3
1534,Robert Delpino\DelpRo00,1993,28,5-117,DEN,NFL,16,4,111.0,137.0,6.94,8.56,0,0,0,0,0,131,445,8,26,195,0,1
1535,Rueben Mayes\MayeRu00,1990,27,3-57,NOR,NFL,15,8,104.1,116.1,6.94,7.74,0,0,0,0,0,138,510,7,12,121,0,1
1536,Thomas Rawls\RawlTh00,2016,23,,SEA,NFL,9,7,62.5,75.5,6.94,8.39,0,0,0,0,0,109,349,3,13,96,0,0
1537,Tony Dorsett*\DorsTo00,1988,34,1-2,DEN,NFL,16,13,110.8,126.8,6.93,7.92,1,2,7,1,0,181,703,5,16,122,0,6
1538,Jermaine Fazande\FazaJe00,1999,24,2-60,SDG,NFL,7,3,48.5,48.5,6.93,6.93,0,0,0,0,0,91,365,2,0,0,0,2
1539,Perry Harrington\HarrPe00,1981,23,2-53,PHI,NFL,4,4,27.7,36.7,6.93,9.18,0,0,0,0,0,34,140,2,9,27,0,1
1540,Jacob Hester\HestJa00,2012,27,3-69,DEN,NFL,3,0,20.8,21.8,6.93,7.27,0,0,0,0,0,17,81,2,1,7,0,0
1541,Amp Lee\LeexAm00,1997,26,2-45,STL,NFL,16,1,110.9,171.9,6.93,10.74,0,0,0,0,0,28,104,0,61,825,3,0
1542,Amp Lee\LeexAm00,1995,24,2-45,MIN,NFL,16,3,110.9,181.9,6.93,11.37,0,0,0,0,0,69,371,2,71,558,1,3
1543,Gerald Willhite\WillGe00,1982,23,1-21,DEN,NFL,9,2,62.4,88.4,6.93,9.82,0,2,0,0,1,70,347,2,26,227,0,5
1544,Brad Baxter\BaxtBr00,1993,26,11-303,NYJ,NFL,16,13,110.7,130.7,6.92,8.17,0,0,0,0,0,174,559,7,20,158,0,3
1545,Terry Kirby\KirbTe00,1998,28,3-78,SFO,NFL,9,0,62.3,78.3,6.92,8.70,1,1,28,1,0,48,258,3,16,134,0,0
1546,Anthony Toney\ToneAn00,1988,26,2-37,PHI,NFL,15,13,103.8,137.8,6.92,9.19,0,0,0,0,0,139,502,4,34,256,1,2
1547,Tyrone Wheatley\WheaTy00,2003,31,1-17,OAK,NFL,15,5,103.8,115.8,6.92,7.72,0,0,0,0,0,159,678,4,12,120,0,2
1548,Harold Green\GreeHa00,1991,23,2-38,CIN,NFL,14,10,96.7,112.7,6.91,8.05,0,0,0,0,0,158,731,2,16,136,0,2
1549,J.J. Johnson\JohnJ.00,1999,25,2-39,MIA,NFL,13,4,89.8,104.8,6.91,8.06,0,0,0,0,0,164,558,4,15,100,0,2
1550,Chris Howard\HowaCh00,2000,25,5-153,JAX,NFL,2,1,13.8,16.8,6.90,8.40,0,0,0,0,0,21,52,1,3,26,0,2
1551,Eric McCoo\McCoEr00,2004,24,,PHI,NFL,1,0,6.9,8.9,6.90,8.90,0,0,0,0,0,9,54,0,2,15,0,0
1552,Kenyan Drake\DrakKe00,2017,23,3-73,MIA,NFL,16,6,110.3,142.3,6.89,8.89,0,0,0,0,0,133,644,3,32,239,1,2
1553,Justin Fargas\FargJu00,2008,28,3-96,OAK,NFL,14,14,96.5,106.5,6.89,7.61,0,0,0,0,0,218,853,1,10,52,0,3
1554,Earl Ferrell\FerrEa00,1986,28,5-125,STL,NFL,16,15,110.2,166.2,6.89,10.39,0,0,0,0,0,124,548,0,56,434,3,6
1555,Tyrone Wheatley\WheaTy00,1997,25,1-17,NYG,NFL,14,7,96.3,112.3,6.88,8.02,0,0,0,0,0,152,583,4,16,140,0,3
1556,Latavius Murray\MurrLa00,2018,28,6-181,MIN,NFL,16,6,109.9,131.9,6.87,8.24,0,0,0,0,0,140,578,6,22,141,0,0
1557,Trent Richardson\RichTr00,2013,23,1-3,2TM,NFL,16,10,109.9,144.9,6.87,9.06,0,0,0,0,0,188,563,3,35,316,1,3
1558,Herman Heard\HearHe00,1984,23,3-61,KAN,NFL,16,9,109.7,134.7,6.86,8.42,0,0,0,0,0,165,684,4,25,223,0,5
1559,Mike Davis\DaviMi01,2018,25,4-126,SEA,NFL,15,2,102.8,136.8,6.85,9.12,0,0,0,0,0,112,514,4,34,214,1,0
1560,Onterrio Smith\SmitOn00,2003,23,4-105,MIN,NFL,15,3,102.8,117.8,6.85,7.85,0,0,0,0,0,107,579,5,15,129,0,1
1561,Neal Anderson\AndeNe00,1993,29,1-27,CHI,NFL,15,11,102.6,133.6,6.84,8.91,0,1,0,0,0,202,646,4,31,160,0,2
1562,Scott Dierking\DierSc00,1980,25,4-90,NYJ,NFL,16,13,109.5,128.5,6.84,8.03,0,0,0,0,0,156,567,6,19,138,1,3
1563,Keith Jones\JoneKe01,1989,23,3-62,ATL,NFL,14,9,95.8,136.8,6.84,9.77,0,1,0,0,0,52,202,6,41,396,0,0
1564,Ron Springs\SpriRo00,1982,26,5-136,DAL,NFL,9,9,61.6,78.6,6.84,8.73,0,0,0,0,0,59,243,2,17,163,2,3
1565,Kenneth Davis\DaviKe00,1987,25,2-41,GNB,NFL,10,8,68.3,82.3,6.83,8.23,0,0,0,0,0,109,413,3,14,110,0,2
1566,Darren Sproles\SproDa00,2013,30,4-130,NOR,NFL,15,4,102.4,173.4,6.83,11.56,0,0,0,0,0,53,220,2,71,604,2,2
1567,Marion Butts\ButtMa00,1993,27,7-183,SDG,NFL,16,16,109.1,124.1,6.82,7.76,0,0,0,0,0,185,746,4,15,105,0,0
1568,Harold Green\GreeHa00,1995,27,2-38,CIN,NFL,15,15,102.3,129.3,6.82,8.62,0,0,0,0,0,171,661,2,27,182,1,2
1569,Chris Ivory\IvorCh00,2013,25,,NYJ,NFL,15,6,102.3,104.3,6.82,6.95,0,0,0,0,0,182,833,3,2,10,0,2
1570,Lorenzo White\WhitLo00,1991,25,1-22,HOU,NFL,13,0,88.6,115.6,6.82,8.89,0,0,0,0,0,110,465,4,27,211,0,3
1571,Woody Bennett\BennWo00,1984,29,,MIA,NFL,16,9,109.0,115.0,6.81,7.19,0,0,0,0,0,144,606,7,6,44,1,4
1572,Harold Green\GreeHa00,1996,28,2-38,STL,NFL,16,5,108.9,145.9,6.81,9.12,0,0,0,0,0,127,523,4,37,246,1,2
1573,George Rogers\RogeGe00,1984,26,1-1,NOR,NFL,16,16,109.0,121.0,6.81,7.56,0,0,0,0,0,239,914,2,12,76,0,2
1574,Jonathan Stewart\StewJo00,2012,25,1-13,CAR,NFL,9,6,61.3,78.3,6.81,8.70,0,0,0,0,0,93,336,1,17,157,1,2
1575,Aveion Cason\CasoAv00,2005,26,,STL,NFL,2,0,13.6,14.6,6.80,7.30,0,0,0,0,0,10,65,1,1,11,0,0
1576,BenJarvus Green-Ellis\GreeBe00,2008,23,,NWE,NFL,9,3,61.2,64.2,6.80,7.13,0,0,0,0,0,74,275,5,3,37,0,0
1577,Tom Rathman\RathTo00,1987,25,3-56,SFO,NFL,12,7,81.6,111.6,6.80,9.30,0,0,0,0,0,62,257,1,30,329,3,1
1578,Selvin Young\YounSe00,2007,24,,DEN,NFL,15,8,102.0,137.0,6.80,9.13,0,0,0,0,0,140,729,1,35,231,0,2
1579,Giovani Bernard\BernGi00,2017,26,2-37,CIN,NFL,16,2,108.7,151.7,6.79,9.48,0,0,0,0,0,105,458,2,43,389,2,0
1580,Adrian Peterson\PeteAd01,2017,32,1-7,2TM,NFL,10,7,67.9,78.9,6.79,7.89,0,0,0,0,0,156,529,2,11,70,0,3
1581,Rick Parros\ParrRi00,1981,23,4-107,DEN,NFL,16,16,108.5,133.5,6.78,8.34,0,0,0,0,0,176,749,2,25,216,1,6
1582,June Henley\HenlJu00,1998,23,5-163,STL,NFL,11,3,74.5,109.5,6.77,9.95,0,0,0,0,0,88,313,3,35,252,0,1
1583,Chris Ivory\IvorCh00,2016,28,,JAX,NFL,11,1,74.5,94.5,6.77,8.59,0,0,0,0,0,117,439,3,20,186,0,5
1584,Ron Dayne\DaynRo00,2000,22,1-11,NYG,NFL,16,4,108.1,111.1,6.76,6.94,0,0,0,0,0,228,770,5,3,11,0,1
1585,Vagas Ferguson\FergVa00,1980,23,1-25,NWE,NFL,16,16,108.1,130.1,6.76,8.13,0,0,0,0,0,211,818,2,22,173,0,3
1586,Bruce Harper\HarpBr00,1981,26,,NYJ,NFL,16,7,108.2,160.2,6.76,10.01,0,0,0,0,0,81,393,4,52,459,1,7
1587,Richard Huntley\HuntRi00,2001,29,4-117,CAR,NFL,14,9,94.6,115.6,6.76,8.26,0,1,0,0,0,165,665,2,21,101,1,3
1588,Jamal Lewis\LewiJa00,2009,30,1-5,CLE,NFL,9,8,60.8,68.8,6.76,7.64,0,0,0,0,0,143,500,0,8,88,0,0
1589,Barry Foster\FostBa00,1991,23,5-128,PIT,NFL,10,9,67.5,76.5,6.75,7.65,0,0,0,0,0,96,488,1,9,117,1,5
1590,Keith Henderson\HendKe00,1991,25,3-84,SFO,NFL,14,1,94.4,124.4,6.74,8.89,0,0,0,0,0,137,561,2,30,303,0,4
1591,Bobby Humphrey\HumpBo00,1992,26,1-3,MIA,NFL,16,1,107.8,161.8,6.74,10.11,0,0,0,0,0,102,471,1,54,507,1,2
1592,Billy Jackson\JackBi00,1981,22,7-180,KAN,NFL,16,1,107.9,113.9,6.74,7.12,0,0,0,0,0,111,398,10,6,31,1,1
1593,Kenny King\KingKe00,1981,24,3-72,OAK,NFL,14,14,94.4,121.4,6.74,8.67,0,0,0,0,0,170,828,0,27,216,0,10
1594,Correll Buckhalter\BuckCo00,2009,31,4-121,DEN,NFL,14,7,94.2,125.2,6.73,8.94,0,0,0,0,0,120,642,1,31,240,0,3
1595,T.J. Duckett\DuckT.00,2002,21,1-18,ATL,NFL,12,3,80.8,89.8,6.73,7.48,0,0,0,0,0,130,507,4,9,61,0,0
1596,Charlie Garner\GarnCh00,1995,23,2-42,PHI,NFL,15,3,100.9,110.9,6.73,7.39,0,0,0,0,0,108,588,6,10,61,0,2
1597,Brandon Jacobs\JacoBr00,2013,31,4-110,NYG,NFL,7,1,47.1,49.1,6.73,7.01,0,0,0,0,0,58,238,4,2,13,0,1
1598,Beanie Wells\WellCh00,2012,24,1-31,ARI,NFL,8,7,53.8,54.8,6.73,6.85,0,0,0,0,0,88,234,5,1,24,0,1
1599,Napoleon Kaufman\KaufNa00,1999,26,1-18,OAK,NFL,16,5,107.5,125.5,6.72,7.84,0,0,0,0,0,138,714,2,18,181,1,3
1600,Errict Rhett\RhetEr00,2000,30,2-34,CLE,NFL,5,4,33.6,47.6,6.72,9.52,0,0,0,0,0,71,258,0,14,78,0,0
,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1601,Alfred Anderson\AndeAl00,1984,23,3-67,MIN,NFL,16,14,107.3,124.3,6.71,7.77,3,7,95,2,1,201,773,2,17,102,1,8
1602,Ryan Grant\GranRy00,2011,29,,GNB,NFL,15,14,100.7,119.7,6.71,7.98,0,0,0,0,0,134,559,2,19,268,1,2
1603,Shonn Greene\GreeSh00,2010,25,3-65,NYJ,NFL,15,2,100.6,116.6,6.71,7.77,0,0,0,0,0,185,766,2,16,120,0,3
1604,Wali Lundy\LundWa00,2006,23,6-170,HOU,NFL,14,8,94.0,127.0,6.71,9.07,0,0,0,0,0,124,476,4,33,204,0,1
1605,Dwayne Crutchfield\CrutDw00,1983,24,3-79,2TM,NFL,13,8,87.1,106.1,6.70,8.16,0,0,0,0,0,140,578,3,19,133,0,2
1606,Greg Hill\HillGr00,1996,24,1-25,KAN,NFL,15,1,100.5,103.5,6.70,6.90,0,0,0,0,0,135,645,4,3,60,1,1
1607,Fred McAfee\McAfFr00,1991,23,6-154,NOR,NFL,9,0,60.2,61.2,6.69,6.80,0,0,0,0,0,109,494,2,1,8,0,2
1608,Khiry Robinson\RobiKh00,2015,26,,NOR,NFL,8,0,53.5,70.5,6.69,8.81,0,0,0,0,0,56,180,4,17,115,0,0
1609,Robert Chancey\ChanRo20,2000,28,,SDG,NFL,4,3,26.7,27.7,6.68,6.93,0,1,0,0,0,42,141,2,1,6,0,0
1610,Fred Jackson\JackFr02,2008,27,,BUF,NFL,16,3,106.8,143.8,6.68,8.99,0,0,0,0,0,130,571,3,37,317,0,3
1611,Lamar Smith\SmitLa00,1998,28,3-73,NOR,NFL,14,9,93.4,117.4,6.67,8.39,1,2,20,1,0,138,457,1,24,249,2,4
1612,Correll Buckhalter\BuckCo00,2008,30,4-121,PHI,NFL,14,2,93.3,119.3,6.66,8.52,0,0,0,0,0,76,369,2,26,324,2,0
1613,LeSean McCoy\McCoLe01,2018,30,2-53,BUF,NFL,14,13,93.2,127.2,6.66,9.09,0,0,0,0,0,161,514,3,34,238,0,0
1614,Darren Sproles\SproDa00,2015,32,4-130,PHI,NFL,16,4,106.5,161.5,6.66,10.09,0,0,0,0,0,83,317,3,55,388,1,1
1615,Boyce Green\GreeBo00,1983,23,11-288,CLE,NFL,13,2,86.4,111.4,6.65,8.57,0,0,0,0,0,104,497,3,25,167,1,4
1616,Aaron Craver\CravAa00,1995,27,3-60,DEN,NFL,16,10,106.2,149.2,6.64,9.33,0,0,0,0,0,73,333,5,43,369,1,1
1617,James Jackson\JackJa00,2001,25,3-65,CLE,NFL,11,10,73.0,80.0,6.64,7.27,0,0,0,0,0,195,554,2,7,56,0,1
1618,Ryan Moats\MoatRy00,2005,23,3-77,PHI,NFL,7,1,46.5,50.5,6.64,7.21,0,0,0,0,0,55,278,3,4,7,0,3
1619,Brad Muster\MustBr00,1992,27,1-23,CHI,NFL,16,16,106.3,140.3,6.64,8.77,0,1,0,0,1,98,414,3,34,389,2,2
1620,Stanford Jennings\JennSt00,1984,22,3-65,CIN,NFL,15,4,99.5,134.5,6.63,8.97,0,0,0,0,0,79,379,2,35,346,3,3
1621,Jason Snelling\SnelJa00,2010,27,7-244,ATL,NFL,14,0,92.7,136.7,6.62,9.76,0,0,0,0,0,87,324,2,44,303,3,2
1622,George Adams\AdamGe00,1985,23,1-19,NYG,NFL,16,0,105.7,136.7,6.61,8.54,0,1,0,0,0,128,498,2,31,389,2,7
1623,Gerry Ellis\ElliGe00,1985,28,7-192,GNB,NFL,16,8,105.7,129.7,6.61,8.11,0,1,0,0,0,104,571,5,24,206,0,2
1624,Garrison Hearst\HearGa00,1996,25,1-3,CIN,NFL,16,12,105.8,117.8,6.61,7.36,0,0,0,0,0,225,847,0,12,131,1,1
1625,Garry James\JameGa00,1986,23,2-29,DET,NFL,16,15,105.7,139.7,6.61,8.73,0,0,0,0,0,159,688,3,34,219,0,3
1626,Mike Alstott\AlstMi00,2000,27,2-35,TAM,NFL,13,13,85.8,98.8,6.60,7.60,0,1,0,0,0,131,465,5,13,93,0,3
1627,Stacey Mack\MackSt00,2003,28,,HOU,NFL,8,5,52.8,61.8,6.60,7.73,0,1,0,0,1,93,253,4,9,55,0,2
1628,Evan Royster\RoysEv00,2011,24,6-177,WAS,NFL,6,2,39.6,48.6,6.60,8.10,0,0,0,0,0,56,328,0,9,68,0,0
1629,Steve Sewell\SeweSt00,1987,24,1-26,DEN,NFL,7,0,46.2,59.2,6.60,8.46,0,0,0,0,0,19,83,2,13,209,1,1
1630,T.J. Duckett\DuckT.00,2005,24,1-18,ATL,NFL,14,0,92.3,98.3,6.59,7.02,0,0,0,0,0,121,380,8,6,63,0,2
1631,Stacey Mack\MackSt00,2002,27,,JAX,NFL,16,0,105.5,116.5,6.59,7.28,0,0,0,0,0,98,436,9,11,79,0,0
1632,Roger Vick\VickRo00,1989,25,1-21,NYJ,NFL,16,10,105.5,139.5,6.59,8.72,0,0,0,0,0,112,434,5,34,241,2,4
1633,Ray Zellars\ZellRa00,1997,24,2-44,NOR,NFL,16,16,105.5,136.5,6.59,8.53,0,0,0,0,0,156,552,4,31,263,0,6
1634,Curtis Dickey\DickCu00,1986,30,1-5,CLE,NFL,14,10,92.1,102.1,6.58,7.29,0,0,0,0,0,135,523,6,10,78,0,4
1635,Harlan Huckleby\HuckHa00,1981,24,5-120,GNB,NFL,16,12,105.2,132.2,6.58,8.26,0,0,0,0,0,139,381,5,27,221,3,3
1636,Rodney Culver\CulvRo00,1992,23,4-85,IND,NFL,16,2,105.1,131.1,6.57,8.19,0,0,0,0,0,121,321,7,26,210,2,2
1637,Earnest Jackson\JackEa00,1987,28,8-202,PIT,NFL,12,9,78.8,85.8,6.57,7.15,0,0,0,0,0,180,696,1,7,52,0,2
1638,James Starks\StarJa00,2011,25,6-193,GNB,NFL,13,2,85.4,114.4,6.57,8.80,0,0,0,0,0,133,578,1,29,216,0,2
1639,Knile Davis\DaviKn00,2014,23,3-96,KAN,NFL,16,1,105.0,121.0,6.56,7.56,0,0,0,0,0,134,463,6,16,147,1,4
1640,Frank Gore\GoreFr00,2005,22,3-65,SFO,NFL,14,1,91.9,106.9,6.56,7.64,0,0,0,0,0,127,608,3,15,131,0,2
1641,Tony Galbreath\GalbTo00,1980,26,2-32,NOR,NFL,16,4,104.8,161.8,6.55,10.11,0,2,0,0,0,81,308,3,57,470,2,3
1642,Tim Hightower\HighTi00,2016,30,5-149,NOR,NFL,16,1,104.8,126.8,6.55,7.93,0,0,0,0,0,133,548,4,22,200,1,0
1643,Tiki Barber\BarbTi00,1999,24,2-36,NYG,NFL,16,1,104.7,170.7,6.54,10.67,0,0,0,0,0,62,258,0,66,609,2,5
1644,Brad Muster\MustBr00,1989,24,1-23,CHI,NFL,16,16,104.6,136.6,6.54,8.54,0,0,0,0,0,82,327,5,32,259,3,2
1645,Justin Fargas\FargJu00,2009,29,3-96,OAK,NFL,12,4,78.4,95.4,6.53,7.95,0,0,0,0,0,129,491,3,17,113,0,1
1646,Charlie Garner\GarnCh00,1994,22,2-42,PHI,NFL,10,8,65.3,73.3,6.53,7.33,0,0,0,0,0,109,399,3,8,74,0,3
1647,Tom Rathman\RathTo00,1990,28,3-56,SFO,NFL,16,16,104.5,152.5,6.53,9.53,0,0,0,0,0,101,318,7,48,327,0,2
1648,Mike Augustyniak\AuguMi00,1982,26,,NYJ,NFL,9,8,58.7,82.7,6.52,9.19,0,0,0,0,0,50,178,4,24,189,0,2
1649,Kenneth Davis\DaviKe00,1991,29,2-41,BUF,NFL,16,1,104.2,124.2,6.51,7.76,0,0,0,0,0,129,624,4,20,118,1,0
1650,Bilal Powell\PoweBi00,2013,25,4-126,NYJ,NFL,16,11,104.1,140.1,6.51,8.76,1,1,30,0,0,176,697,1,36,272,0,1
1651,John Williams\WillJo00,1993,29,1-15,SEA,NFL,16,9,104.1,162.1,6.51,10.13,0,1,0,0,0,82,371,3,58,450,1,2
1652,Antonio Andrews\AndrAn00,2015,23,,TEN,NFL,14,10,91.0,112.0,6.50,8.00,1,1,41,1,0,143,520,3,21,174,0,1
1653,Steven Jackson\JackSt00,2015,32,1-24,NWE,NFL,2,1,13.0,14.0,6.50,7.00,0,0,0,0,0,21,50,1,1,20,0,0
1654,Napoleon McCallum\McCaNa00,1994,31,4-108,RAI,NFL,1,0,6.5,6.5,6.50,6.50,0,0,0,0,0,3,5,1,0,0,0,0
1655,Rashaan Salaam\SalaRa00,1996,22,1-21,CHI,NFL,12,6,78.0,85.0,6.50,7.08,0,0,0,0,0,143,496,3,7,44,1,3
1656,Joique Bell\BellJo01,2012,26,,DET,NFL,16,0,103.9,155.9,6.49,9.74,0,0,0,0,0,82,414,3,52,485,0,2
1657,Dalton Hilliard\HillDa00,1991,27,2-31,NOR,NFL,10,3,64.9,85.9,6.49,8.59,0,0,0,0,0,79,252,4,21,127,1,3
1658,Dorsey Levens\LeveDo00,1995,25,5-149,GNB,NFL,15,12,97.4,145.4,6.49,9.69,0,0,0,0,0,36,120,3,48,434,4,0
1659,Freeman McNeil\McNeFr00,1990,31,1-3,NYJ,NFL,16,4,103.8,119.8,6.49,7.49,0,0,0,0,0,99,458,6,16,230,0,1
1660,Barry Redden\ReddBa00,1986,26,1-14,RAM,NFL,15,14,97.4,125.4,6.49,8.36,0,0,0,0,0,110,467,4,28,217,1,1
1661,LaDainian Tomlinson*\TomlLa00,2011,32,1-5,NYJ,NFL,14,1,90.9,132.9,6.49,9.49,0,0,0,0,0,75,280,1,42,449,2,0
1662,Richie Anderson\AndeRi00,2000,29,6-144,NYJ,NFL,16,10,103.6,191.6,6.48,11.98,0,0,0,0,0,27,63,0,88,853,2,2
1663,Matt Suhey\SuheMa00,1984,26,2-46,CHI,NFL,16,16,103.6,145.6,6.48,9.10,0,1,0,0,0,124,424,4,42,312,2,6
1664,Kimble Anders\AndeKi00,1997,31,,KAN,NFL,15,14,97.0,156.0,6.47,10.40,0,0,0,0,0,79,397,0,59,453,2,3
