,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
197,Darren McFadden\McFaDa00,2011,24,1-4,OAK,NFL,7,7,106.8,125.8,15.26,17.97,0,0,0,0,0,113,614,4,19,154,1,1
198,Peyton Hillis\HillPe00,2010,24,7-227,CLE,NFL,16,14,243.9,304.9,15.24,19.06,1,2,13,0,0,270,1177,11,61,477,2,8
199,Matt Forte\FortMa00,2008,23,2-44,CHI,NFL,16,16,243.5,306.5,15.22,19.16,0,0,0,0,0,316,1238,8,63,477,4,1
200,Domanick Williams\DaviDo01,2005,25,4-101,HOU,NFL,11,11,167.3,206.3,15.21,18.75,0,1,0,0,0,230,976,2,39,337,4,2
,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
201,Larry Johnson\JohnLa00,2004,25,1-27,KAN,NFL,10,3,151.9,173.9,15.19,17.39,0,0,0,0,0,120,581,9,22,278,2,0
202,Tiki Barber\BarbTi00,2006,31,2-36,NYG,NFL,16,16,242.7,300.7,15.17,18.79,0,0,0,0,0,327,1662,5,58,465,0,3
203,Ricky Watters\WattRi00,1995,26,2-45,PHI,NFL,16,16,242.7,304.7,15.17,19.04,0,0,0,0,0,337,1273,11,62,434,1,6
204,Kareem Hunt\HuntKa00,2017,22,3-86,KAN,NFL,16,16,242.2,295.2,15.14,18.45,0,0,0,0,0,272,1327,8,53,455,3,1
205,Thomas Jones\JoneTh00,2008,30,1-7,NYJ,NFL,16,14,241.9,277.9,15.12,17.37,0,0,0,0,0,290,1312,13,36,207,2,2
206,Curtis Martin*\MartCu00,2000,27,3-74,NYJ,NFL,16,16,241.9,311.9,15.12,19.50,1,1,18,1,0,316,1204,9,70,508,2,2
207,Jamaal Charles\CharJa00,2010,24,3-73,KAN,NFL,16,6,241.5,286.5,15.09,17.91,0,0,0,0,0,230,1467,5,45,468,3,3
208,Alfred Morris\MorrAl00,2012,24,6-173,WAS,NFL,16,16,241.0,252.0,15.06,15.75,0,0,0,0,0,335,1613,13,11,77,0,4
209,DeMarco Murray\MurrDe00,2016,28,3-71,TEN,NFL,16,16,240.8,293.8,15.05,18.36,1,2,10,1,0,293,1287,9,53,377,3,3
210,Emmitt Smith*\SmitEm00,1998,29,1-17,DAL,NFL,16,16,240.7,267.7,15.04,16.73,0,0,0,0,0,319,1332,13,27,175,2,3
211,Alvin Blount\BlouAl20,1987,22,9-235,DAL,NFL,2,2,30.0,31.0,15.00,15.50,0,0,0,0,0,46,125,3,1,5,0,1
212,Lionel Vital\VitaLi20,1987,24,7-185,WAS,NFL,3,3,44.9,45.9,14.97,15.30,0,0,0,0,0,80,346,2,1,13,0,3
213,Ricky Watters\WattRi00,2000,31,2-45,SEA,NFL,16,16,239.5,302.5,14.97,18.91,0,0,0,0,0,278,1242,7,63,613,2,5
214,Marshall Faulk*\FaulMa00,1995,22,1-2,IND,NFL,16,16,239.3,295.3,14.96,18.46,0,0,0,0,0,289,1078,11,56,475,3,8
215,Alvin Kamara\KamaAl00,2017,22,3-67,NOR,NFL,16,3,239.4,320.4,14.96,20.03,0,0,0,0,0,120,728,8,81,826,5,1
216,Marshawn Lynch\LyncMa00,2013,27,1-12,SEA,NFL,16,16,239.3,275.3,14.96,17.21,0,0,0,0,0,301,1257,12,36,316,2,4
