,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
44,Julio Jones\JoneJu02,2015,26,1-6,ATL,NFL,16,16,233.1,369.1,14.57,23.07,0,0,0,0,0,0,0,0,136,1871,8,3
45,Terrell Owens*\OwenTe00,2004,31,3-89,PHI,NFL,14,14,203.5,280.5,14.54,20.04,0,0,0,0,0,3,-5,0,77,1200,14,2
46,Brandon Marshall\MarsBr00,2015,31,4-119,NYJ,NFL,16,16,230.2,339.2,14.39,21.20,0,0,0,0,0,0,0,0,109,1502,14,3
47,Jordy Nelson\NelsJo00,2014,29,2-36,GNB,NFL,16,16,229.9,327.9,14.37,20.49,0,0,0,0,0,0,0,0,98,1519,13,0
48,Demaryius Thomas\ThomDe03,2014,27,1-22,DEN,NFL,16,16,229.9,340.9,14.37,21.31,0,0,0,0,0,0,0,0,111,1619,11,0
49,Robert Brooks\BrooRo00,1995,25,3-62,GNB,NFL,16,16,229.8,331.8,14.36,20.74,0,0,0,0,0,4,21,0,102,1497,13,0
50,Dez Bryant\BryaDe01,2014,26,1-24,DAL,NFL,16,16,228.0,316.0,14.25,19.75,0,0,0,0,0,0,0,0,88,1320,16,1
51,DeAndre Hopkins\HopkDe00,2017,25,1-27,HOU,NFL,15,15,213.8,309.8,14.25,20.65,0,0,0,0,0,0,0,0,96,1378,13,1
52,Jerry Rice*\RiceJe00,1990,28,1-16,SFO,NFL,16,16,227.2,327.2,14.20,20.45,0,0,0,0,0,2,0,0,100,1502,13,1
53,Demaryius Thomas\ThomDe03,2013,26,1-22,DEN,NFL,16,16,227.0,319.0,14.19,19.94,0,0,0,0,0,0,0,0,92,1430,14,2
54,Hines Ward\WardHi00,2002,26,3-92,PIT,NFL,16,16,227.1,339.1,14.19,21.19,0,0,0,0,0,12,142,0,112,1329,12,1
55,Carl Pickens\PickCa00,1995,25,2-31,CIN,NFL,16,16,226.0,325.0,14.13,20.31,0,0,0,0,0,1,6,0,99,1234,17,1
56,Roy Green\GreeRo01,1984,27,4-89,STL,NFL,16,16,225.5,303.5,14.09,18.97,0,0,0,0,0,1,-10,0,78,1555,12,1
57,Marvin Harrison*\HarrMa00,2000,28,1-19,IND,NFL,16,16,225.3,327.3,14.08,20.46,0,0,0,0,0,0,0,0,102,1413,14,2
58,Braylon Edwards\EdwaBr00,2007,24,1-3,CLE,NFL,16,16,224.9,304.9,14.06,19.06,0,0,0,0,0,0,0,0,80,1289,16,3
59,Rod Smith\SmitRo01,2000,30,,DEN,NFL,16,16,224.1,324.1,14.01,20.26,0,0,0,0,0,6,99,1,100,1602,8,1
60,Allen Robinson\RobiAl02,2015,22,2-61,JAX,NFL,16,16,224.0,304.0,14.00,19.00,0,0,0,0,0,0,0,0,80,1400,14,0
61,Sterling Sharpe\SharSt00,1992,27,1-7,GNB,NFL,16,16,222.9,330.9,13.93,20.68,0,0,0,0,0,4,8,0,108,1461,13,2
62,Randy Moss*\MossRa00,1999,22,1-21,MIN,NFL,16,16,222.7,302.7,13.92,18.92,1,1,27,1,0,4,43,0,80,1413,11,3
63,Sterling Sharpe\SharSt00,1994,29,1-7,GNB,NFL,16,16,221.4,315.4,13.84,19.71,0,0,0,0,0,3,15,0,94,1119,18,1
64,Calvin Johnson\JohnCa00,2012,27,1-2,DET,NFL,16,16,220.4,342.4,13.78,21.40,0,0,0,0,0,0,0,0,122,1964,5,3
65,Michael Irvin*\IrviMi00,1995,29,1-11,DAL,NFL,16,16,220.3,331.3,13.77,20.71,0,0,0,0,0,0,0,0,111,1603,10,1
66,DeAndre Hopkins\HopkDe00,2015,23,1-27,HOU,NFL,16,16,220.1,331.1,13.76,20.69,0,0,0,0,0,0,0,0,111,1521,11,1
67,Anthony Miller\MillAn00,1995,30,1-15,DEN,NFL,14,14,192.4,251.4,13.74,17.96,0,0,0,0,0,1,5,0,59,1079,14,1
68,Rod Smith\SmitRo01,2001,31,,DEN,NFL,15,14,205.0,318.0,13.67,21.20,0,0,0,0,0,3,27,0,113,1343,11,1
69,DeAndre Hopkins\HopkDe00,2018,26,1-27,HOU,NFL,16,16,218.5,333.5,13.66,20.84,0,1,0,0,0,1,-7,0,115,1572,11,2
70,Mike Quick\QuicMi00,1983,24,1-20,PHI,NFL,16,16,217.9,286.9,13.62,17.93,0,0,0,0,0,0,0,0,69,1409,13,1
71,Brandon Marshall\MarsBr00,2012,28,4-119,CHI,NFL,16,16,216.6,334.6,13.54,20.91,0,0,0,0,0,1,-2,0,118,1508,11,2
72,Jordy Nelson\NelsJo00,2011,26,2-36,GNB,NFL,16,9,216.3,284.3,13.52,17.77,0,0,0,0,0,0,0,0,68,1263,15,0
73,Sterling Sharpe\SharSt00,1989,24,1-7,GNB,NFL,16,16,215.8,305.8,13.49,19.11,0,0,0,0,0,2,25,0,90,1423,12,1
74,Anquan Boldin\BoldAn00,2005,25,2-54,ARI,NFL,14,14,188.7,290.7,13.48,20.76,0,1,0,0,0,12,45,0,102,1402,7,2
75,Larry Fitzgerald\FitzLa00,2008,25,1-3,ARI,NFL,16,16,215.1,311.1,13.44,19.44,0,0,0,0,0,0,0,0,96,1431,12,1
76,Antonio Brown\BrowAn04,2016,28,6-195,PIT,NFL,15,15,201.3,307.3,13.42,20.49,0,0,0,0,0,3,9,0,106,1284,12,0
77,DeSean Jackson\JackDe00,2009,23,2-49,PHI,NFL,15,15,201.3,263.3,13.42,17.55,0,0,0,0,0,11,137,1,62,1156,9,3
78,Larry Fitzgerald\FitzLa00,2007,24,1-3,ARI,NFL,15,15,200.9,300.9,13.39,20.06,0,0,0,0,0,0,0,0,100,1409,10,3
79,Torry Holt\HoltTo00,2005,29,1-6,STL,NFL,14,14,187.3,289.3,13.38,20.66,0,0,0,0,0,1,2,0,102,1331,9,2
80,Dwight Clark\ClarDw00,1982,25,10-249,SFO,NFL,9,8,120.3,180.3,13.37,20.03,0,0,0,0,0,0,0,0,60,913,5,1
81,Henry Ellard\EllaHe00,1989,28,2-32,RAM,NFL,14,12,187.2,257.2,13.37,18.37,0,0,0,0,0,2,10,0,70,1382,8,0
82,Andre Johnson\JohnAn02,2009,28,1-3,HOU,NFL,16,16,213.9,314.9,13.37,19.68,0,0,0,0,0,2,10,0,101,1569,9,1
83,Wes Welker\WelkWe00,2011,30,,NWE,NFL,16,15,213.9,335.9,13.37,20.99,0,0,0,0,0,4,30,0,122,1569,9,1
84,John Jefferson\JeffJo00,1980,24,1-14,SDG,NFL,16,16,213.6,295.6,13.35,18.48,0,0,0,0,0,1,16,0,82,1340,13,0
85,Julio Jones\JoneJu02,2018,29,1-6,ATL,NFL,16,16,212.9,325.9,13.31,20.37,0,0,0,0,0,2,12,0,113,1677,8,2
86,Andre Rison\RisoAn00,1993,26,1-22,ATL,NFL,16,16,212.2,298.2,13.26,18.64,0,0,0,0,0,0,0,0,86,1242,15,2
87,David Boston\BostDa00,2001,23,1-8,ARI,NFL,16,15,211.3,309.3,13.21,19.33,0,0,0,0,0,5,35,0,98,1598,8,1
88,Reggie Wayne\WaynRe00,2007,29,1-30,IND,NFL,16,16,211.4,315.4,13.21,19.71,0,0,0,0,0,1,4,0,104,1510,10,3
89,Alfred Jenkins\JenkAl00,1981,29,,ATL,NFL,16,16,210.8,280.8,13.18,17.55,0,0,0,0,0,0,0,0,70,1358,13,3
90,Hakeem Nicks\NickHa01,2010,22,1-29,NYG,NFL,13,12,171.2,250.2,13.17,19.25,0,0,0,0,0,0,0,0,79,1052,11,1
91,Javon Walker\WalkJa00,2004,26,1-20,GNB,NFL,16,12,210.2,299.2,13.14,18.70,0,0,0,0,0,0,0,0,89,1382,12,2
92,Andre Johnson\JohnAn02,2010,29,1-3,HOU,NFL,13,13,170.6,256.6,13.12,19.74,0,0,0,0,0,2,10,0,86,1216,8,1
93,Brett Perriman\PerrBr00,1995,30,2-52,DET,NFL,16,16,209.6,317.6,13.10,19.85,0,0,0,0,0,5,48,0,108,1488,9,1
94,Stanley Morgan\MorgSt00,1986,31,1-25,NWE,NFL,16,16,209.1,293.1,13.07,18.32,0,0,0,0,0,0,0,0,84,1491,10,0
95,Brandon Lloyd\LloyBr00,2010,29,4-124,DEN,NFL,16,11,209.0,286.0,13.06,17.88,0,0,0,0,0,1,-18,0,77,1448,11,0
96,A.J. Green\GreeA.00,2013,25,1-4,CIN,NFL,16,16,208.6,306.6,13.04,19.16,0,0,0,0,0,0,0,0,98,1426,11,1
97,Roy Green\GreeRo01,1983,26,4-89,STL,NFL,16,15,208.6,286.6,13.04,17.91,0,0,0,0,0,4,49,0,78,1227,14,3
98,Marvin Harrison*\HarrMa00,2006,34,1-19,IND,NFL,16,16,208.6,303.6,13.04,18.98,0,0,0,0,0,0,0,0,95,1366,12,1
99,Rob Moore\MoorRo00,1997,29,1-1,ARI,NFL,16,16,208.4,305.4,13.03,19.09,0,0,0,0,0,0,0,0,97,1584,8,0
100,Mike Evans\EvanMi00,2016,23,1-7,TAM,NFL,16,16,208.1,304.1,13.01,19.01,0,0,0,0,0,0,0,0,96,1321,12,0
,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
101,Michael Jackson\JackMi00,1996,27,6-141,BAL,NFL,16,16,208.1,284.1,13.01,17.76,0,0,0,0,0,0,0,0,76,1201,14,0
102,Steve Smith\SmitSt01,2008,29,3-74,CAR,NFL,14,14,182.1,260.1,13.01,18.58,0,0,0,0,0,5,40,0,78,1421,6,1
103,Darrell Grymes\GrymDa20,1987,26,,DET,NFL,2,2,26.0,35.0,13.00,17.50,0,0,0,0,0,0,0,0,9,140,2,0
104,Victor Cruz\CruzVi00,2011,25,,NYG,NFL,16,7,207.9,289.9,12.99,18.12,0,0,0,0,0,1,3,0,82,1536,9,1
105,Joe Horn\HornJo00,2004,32,5-135,NOR,NFL,16,16,207.9,301.9,12.99,18.87,0,0,0,0,0,0,0,0,94,1399,11,0
106,Dez Bryant\BryaDe01,2012,24,1-24,DAL,NFL,16,14,207.7,299.7,12.98,18.73,0,0,0,0,0,2,-5,0,92,1382,12,5
107,Jordy Nelson\NelsJo00,2016,31,2-36,GNB,NFL,16,16,207.7,304.7,12.98,19.04,0,0,0,0,0,0,0,0,97,1257,14,1
108,Andre Johnson\JohnAn02,2008,27,1-3,HOU,NFL,16,16,207.5,322.5,12.97,20.16,0,0,0,0,0,0,0,0,115,1575,8,1
109,Calvin Johnson\JohnCa00,2008,23,1-2,DET,NFL,16,16,207.0,285.0,12.94,17.81,0,0,0,0,0,3,-1,0,78,1331,12,3
110,Terrell Owens*\OwenTe00,1998,25,3-89,SFO,NFL,16,10,207.0,274.0,12.94,17.13,0,0,0,0,0,4,53,1,67,1097,14,1
111,Dwayne Bowe\BoweDw00,2010,26,1-23,KAN,NFL,16,16,206.6,278.6,12.91,17.41,0,0,0,0,0,1,4,0,72,1162,15,1
