Rob Gronkowski
Travis Kelce
Zach Ertz
Greg Olsen
Delanie Walker
Evan Engram
Jimmy Graham
Jordan Reed
Kyle Rudolph
Jack Doyle
Trey Burton
David Njoku
Charles Clay
Tyler Eifert
George Kittle
Cameron Brate
Benjamin Watson
Austin Seferian-Jenkins
Vance McDonald
Austin Hooper
O.J. Howard
Jared Cook
Eric Ebron
Mike Gesicki
Ricky Seals-Jones
Hayden Hurst
Ryan Griffin
Blake Jarwin
Jake Butt
Virgil Green
Vernon Davis
Tyler Kroft
Antonio Gates
Gerald Everett
