Aaron Rodgers
Tom Brady
Cam Newton
Carson Wentz
Russell Wilson
Deshaun Watson
Andrew Luck
Ben Roethlisberger
Kirk Cousins
Matthew Stafford
Drew Brees
Matt Ryan
Patrick Mahomes
Philip Rivers
Jimmy Garoppolo
Alex Smith
Marcus Mariota
Dak Prescott
Jared Goff
Tyrod Taylor
Mitchell Trubisky
Andy Dalton
Ryan Tannehill
Eli Manning
Derek Carr
Jameis Winston
Case Keenum
Blake Bortles
Joe Flacco
Sam Darnold
Sam Bradford
Josh Allen
